#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , Dans På Bordet,"Ballinciaga,David Mokel",76,"norwegian pop, norwegian pop rap,",Pop,Dans På Bordet,2022-02-09,2:23,87,70,15,1,81,6,17,-3 db,125,G#/A♭ Minor,1A,4,2022-04-08,56kyGGwLIVAR30ZFiASn8Q
2 , As It Was,Harry Styles,99,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-08,4LRPiXqCikLlN15c3yImP7
3 , Beklager (Guttaklubben),"Ballinciaga,Kris Winther",66,"norwegian pop, norwegian pop rap, russelater","Pop, Dance/Electronic",Beklager (Guttaklubben),2022-04-01,2:30,85,95,6,3,63,15,30,-6 db,128,C♯/D♭ Major,3B,4,2022-04-08,2kPukYbkTVuvaNn4HhIPBW
4 , Bonanza (feat. Greekazo),"Roc Boyz,Greekazo",71,"norwegian pop rap, russelater, swedish gangsta rap, swedish hip hop, swedish trap pop","Pop, Dance/Electronic, Hip Hop",Bonanza,2022-03-25,2:18,81,74,6,0,74,10,7,-4 db,128,E Minor,9A,4,2022-04-08,70KdADbxWK0MAVXj0YvWDi
5 , TANTE,"Kevin Lauren,Ballinciaga",73,"norwegian pop rap, norwegian pop",Pop,TANTE,2022-03-04,2:13,78,84,5,0,68,17,24,-6 db,140,E Minor,9A,4,2022-04-08,56oWBEoaWwiyaPLe0PqB0k
6 , glorie,vinni,74,"norwegian hip hop, norwegian pop, norwegian pop rap","Hip Hop, Pop",glorie,2021-11-12,2:36,66,56,8,0,36,7,21,-6 db,77,G Minor,6A,4,2022-04-08,4olmG0sFJ6L0LVI8ssiZFz
7 , 31 Etasje,Capow x 2G,61,,,31 Etasje,2022-03-25,2:37,75,66,14,0,47,14,15,-8 db,98,C Minor,5A,4,2022-04-08,1g6pAG1re0AKUO26JJpZJ8
8 , ok jeg lover,Ramón,75,"norwegian pop, norwegian pop rap",Pop,ok jeg lover,2022-02-18,2:35,55,39,41,0,48,9,15,-10 db,80,F#/G♭ Major,2B,4,2022-04-08,6xb3ooLtkGkl4j1rGPmGKz
9 , PAF.no,Karpe,75,"norwegian hip hop, norwegian pop, norwegian pop rap","Hip Hop, Pop",Omar Sheriff,2022-01-28,3:46,83,42,82,0,70,6,16,-9 db,98,G#/A♭ Major,4B,4,2022-04-08,2coLAzVouJE4BC8lrKbDLk
10 , Loud Luxury 2022,"Ballinciaga,Kevin Lauren",71,"norwegian pop, norwegian pop rap",Pop,Loud Luxury 2022,2021-10-07,2:02,85,66,5,1,67,9,13,-4 db,120,G#/A♭ Minor,1A,4,2022-04-08,3IVkcYvMiqvRKa4ip0E7a8
11 , Sympati,Aiba,72,norwegian pop rap,Pop,Sympati,2022-03-04,2:56,55,43,65,0,16,4,14,-9 db,124,F#/G♭ Minor,11A,4,2022-04-08,2XAup2iHm6t3UK4Hsjkkwy
12 ," Slå hjerte, slå",Chris Holsten,69,"norwegian indie, norwegian pop","Dance/Electronic, Pop",Bak en fasade,2022-03-18,3:17,64,46,46,0,57,3,11,-9 db,136,A#/B♭ Major,6B,4,2022-04-08,6qMf3eqbmToDXj7LixyK1w
13 , Lekeland 2022,Yung Slippy,68,,,Lekeland 2022,2022-02-24,2:26,81,84,0,0,76,20,15,-4 db,116,B Major,1B,4,2022-04-08,03OkFJQvdweiwzZcPPsQ23
14 , Heat Waves,Glass Animals,96,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-08,02MWAaffLxlfxAUY7c5dvx
15 , Another Love,Tom Odell,59,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-08,7jtQIBanIiJOMS6RyCx6jZ
16 , Den Samme Jævla Sangen,"Vidar Villa,Halva Priset",60,norwegian pop,Pop,Den Samme Jævla Sangen,2022-04-01,2:20,53,72,0,0,68,6,24,-8 db,95,B Major,1B,4,2022-04-08,5vkNNLnO28ZGA2QryYpXZU
17 , Birthday Cake,Dylan Conrique,85,"alt z, social media pop",Pop,Birthday Cake,2022-02-02,3:25,44,26,96,0,15,4,11,-9 db,113,D#/E♭ Major,5B,4,2022-04-08,7dDrR6vMK1JAwZZ5MIWgme
18 , Dancing Feet (feat. DNCE),"Kygo,DNCE",86,"edm, pop, pop dance, tropical house, dance pop, post-teen pop","Pop, Dance/Electronic",Dancing Feet (feat. DNCE),2022-02-25,3:35,75,80,29,0,52,12,39,-5 db,106,C Major,8B,4,2022-04-08,4RAR8g8fZNB106ezUurnE0
19 , When You're Gone,Shawn Mendes,88,"canadian pop, dance pop, pop, viral pop",Pop,When You're Gone,2022-03-31,2:52,60,69,2,0,58,4,58,-6 db,147,F Major,7B,4,2022-04-08,0U1W2LZVUX7qTm7dDpqxh6
20 , Glad U Came (feat. ZieZie),"Liilz,ZieZie",83,uk hip hop,Hip Hop,Glad U Came (feat. ZieZie),2022-03-04,2:05,75,53,37,0,66,5,11,-9 db,140,D Minor,7A,4,2022-04-08,0P88fVbvRQGgRQN1GulQNy
21 , chaotic,Tate McRae,85,"alt z, pop",Pop,chaotic,2022-03-25,2:58,41,38,59,0,32,5,9,-7 db,81,D Minor,7A,3,2022-04-08,2bdqU7C4softKNcMYDFi96
22 , Suksé 2022 (Hjemmesmæck),"Sportsalleen,gangCBang",68,"russelater, hjemmesnekk",Dance/Electronic,Suksé 2022 (Hjemmesmæck),2022-02-22,2:26,86,82,1,0,90,16,22,-7 db,121,A Minor,8A,4,2022-04-08,0gG0dF1yexUsE8OO7mq8Kn
23 , MIDDLE OF THE NIGHT,Elley Duhé,97,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-08,58HvfVOeJY7lUuCqF0m3ly
24 , Night Away (Dance) (feat. Tion Wayne),"A1 x J1,Tion Wayne",86,"chill drill, london rap",Dance/Electronic,Night Away (Dance) (feat. Tion Wayne),2022-03-03,2:55,71,55,24,0,84,8,14,-9 db,142,F Minor,4A,4,2022-04-08,7z5G2LOdV8okZn4yWg3q5g
25 , Fredag - Digg å være norsk,Mr Melk,66,,,Fredag (Digg å være norsk),2022-03-18,2:13,82,83,1,0,93,4,7,-8 db,107,G#/A♭ Major,4B,4,2022-04-08,3EzeIilO4QWtrGRqG9TVqB
26 , The Motto,"Tiësto,Ava Max",96,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Dance/Electronic, Pop",The Motto,2021-11-04,2:44,75,76,3,0,46,4,9,-5 db,118,G Minor,6A,4,2022-04-08,18asYwWugKjjsihZ0YvRxO
27 , Italia,UNDERGRUNN,46,"norwegian pop rap, norwegian trap","Pop, Dance/Electronic",UNDERGRUNN,2022-04-06,2:50,75,70,3,0,63,5,14,-6 db,110,B Major,1B,4,2022-04-08,3h2IRgTZrU4hSNCePszT23
28 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",96,"dance pop, pop, post-teen pop, uk pop",Pop,Bam Bam (feat. Ed Sheeran),2022-03-04,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-08,0QBzMgT7NIeoCYy3sJCof1
29 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",79,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-08,7rglLriMNBPAyuJOMGwi39
30 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",90,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-08,1HhNoOuqm1a5MXYEgAFl8o
31 , Pepas,Farruko,87,"latin, latin hip hop, reggaeton, trap latino","Latin, Hip Hop",La 167,2021-10-01,4:47,76,77,1,0,44,3,13,-4 db,130,G Major,9B,4,2022-04-08,2B4GHvToeLTOBB4QLzW3Ni
32 , Thunder,"Gabry Ponte,LUM!X,Prezioso",89,"eurodance, europop, italo dance, slap house, melbourne bounce international","Pop, Dance/Electronic",Thunder,2021-05-07,2:40,67,90,3,0,40,6,34,-5 db,101,C♯/D♭ Major,3B,3,2022-04-08,2USlegnFJLrVLpoVfPimKB
33 , IBOPROFEN,Karpe,70,"norwegian hip hop, norwegian pop, norwegian pop rap","Hip Hop, Pop",Omar Sheriff,2022-01-28,2:10,45,71,46,0,57,52,67,-6 db,70,F#/G♭ Minor,11A,4,2022-04-08,5vtRUF1yqzWWwZe5rN901j
34 , In My Head,Lil Tjay,86,"brooklyn drill, melodic rap, nyc rap",Hip Hop,In My Head,2022-04-01,2:15,68,55,16,0,41,12,10,-7 db,143,C♯/D♭ Major,3B,4,2022-04-08,1HvTxgCj0mTzQlEo0zLvFb
35 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",94,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-08,5PjdY0CKGZdEuoNab3yDmX
36 , Where Are You Now,"Lost Frequencies,Calum Scott",97,"belgian edm, edm, pop, pop dance, tropical house, neo mellow","Dance/Electronic, Folk/Acoustic, Pop",Where Are You Now,2021-07-30,2:28,67,64,52,0,26,10,17,-8 db,121,F#/G♭ Minor,11A,4,2022-04-08,3uUuGVFu1V7jTQL60S1r8z
37 , Give That Wolf A Banana,Subwoolfer,73,"eurovision, norwegian pop",Pop,Give That Wolf A Banana,2022-01-10,2:51,74,53,20,0,55,4,9,-10 db,124,G Minor,6A,4,2022-04-08,50Cf2eYv8zT3v2HAkwhIiL
