#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , showdown,shadowraze,75,"russian drain, russian hip hop",Hip Hop,showdown,2022-03-04,2:00,71,63,4,3,38,13,9,-11 db,115,F#/G♭ Major,2B,4,2022-04-23,48fzAdCxamFYCHNXXLk6zn
2 , Kõk tu,"Irina Kairatovna,Shiza",51,"central asian hip hop, kazakh hip hop, kazakh pop, russian hip hop","Pop, Hip Hop",Kõk tu,2022-03-18,3:40,93,65,6,1,92,16,9,-7 db,137,F#/G♭ Major,2B,4,2022-04-23,1tVJ6OAOSN5D7e0kwrhdqc
3 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-23,4LRPiXqCikLlN15c3yImP7
4 , astral step,shadowraze,72,"russian drain, russian hip hop",Hip Hop,astral step,2021-10-29,2:01,80,62,1,0,69,29,10,-7 db,95,G Major,9B,4,2022-04-23,47iHvzU9Po0e6raFlgLBOF
5 , Heat Waves,Glass Animals,91,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-23,02MWAaffLxlfxAUY7c5dvx
6 , RAVE,Dxrk ダーク,76,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-23,01kfSdF9zfcDLri5sSWEoL
7 , MIDDLE OF THE NIGHT,Elley Duhé,92,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-23,58HvfVOeJY7lUuCqF0m3ly
8 , Another Love,Tom Odell,54,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-23,7jtQIBanIiJOMS6RyCx6jZ
9 , Лёд,"WENARO,LXNER",68,"russian drain, hyperpop, russian hip hop","Pop, Hip Hop",Лёд,2021-07-12,2:32,64,79,17,0,95,6,16,-8 db,172,G#/A♭ Major,4B,4,2022-04-23,7D8k995g6jdie4NF1E7Tpu
10 , Sweater Weather,The Neighbourhood,89,"modern alternative rock, modern rock, pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-23,2QjOHCTQ1Jl3zawyYOpxh6
11 , 5000,Irina Kairatovna,55,"central asian hip hop, kazakh hip hop, kazakh pop, russian hip hop","Pop, Hip Hop",13 ВЫПУСК,2020-10-30,3:14,78,55,4,0,59,44,9,-9 db,210,G#/A♭ Major,4B,4,2022-04-23,4SoNwm8ceBTUWdE5Ua5dxF
12 , ЛАБИРИНТ,FACE,66,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",12,2019-10-01,2:49,87,72,21,0,91,14,18,-6 db,138,E Minor,9A,4,2022-04-23,7biChppM3c8q7qcVl7ceb2
13 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",85,"modern rock, rock, hip hop, rap, underground hip hop, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-23,1HhNoOuqm1a5MXYEgAFl8o
14 , Ты и Я,Xcho,56,"russian dance, russian hip hop","Dance/Electronic, Hip Hop",Ты и Я,2022-03-25,2:28,86,67,43,0,39,23,9,-4 db,135,A Minor,8A,4,2022-04-23,5G8QKxPILlA34renUDrOih
15 , ярче звёзд,ПОЛМАТЕРИ,60,,,иван марголдин президент россии,2020-08-18,2:47,45,91,2,0,26,5,19,-4 db,115,F#/G♭ Major,2B,4,2022-04-23,4CK9NEdPWB6rJ8N6BU20pN
16 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",89,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-23,5PjdY0CKGZdEuoNab3yDmX
17 , Softcore,The Neighbourhood,88,"modern alternative rock, modern rock, pop","Rock, Pop",Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,3:26,57,57,5,0,37,3,29,-6 db,94,A Minor,8A,4,2022-04-23,2K7xn816oNHJZ0aVqdQsha
18 , первое свидание,Alyona Shvets,64,"russian alt pop, russian indie",Dance/Electronic,первое свидание,2020-12-04,2:32,76,50,69,0,61,11,16,-10 db,85,B Minor,10A,4,2022-04-23,4tPB6H0QcK4bDib8iauE28
19 , After Dark,Mr.Kitty,74,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-23,0zCgWGmDF0aih5qexATyBn
20 , Woman,Doja Cat,92,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-23,6Uj1ctrBOjOas8xZXGqKk4
21 , Вороны,Xcho,62,"russian dance, russian hip hop","Dance/Electronic, Hip Hop",Вороны,2021-10-01,2:36,63,51,39,0,17,8,11,-5 db,176,F Minor,4A,4,2022-04-23,1eQc0azOMOv6VuqQi9c2Ba
22 , I Got Love,"MiyaGi & Endspiel,Rem Digga",67,"estonian hip hop, russian hip hop, russian trap, uzbek pop, kavkaz, russian gangster rap","Hip Hop, Pop, Dance/Electronic, Latin",I Got Love,2016-09-09,4:36,67,86,15,0,20,20,14,-4 db,106,D Minor,7A,4,2022-04-23,43wgyQXc2M9KmTDUqVzugM
23 , adaptive strike,"shadowraze,LXNER,quiizzzmeow",68,"russian drain, russian hip hop, hyperpop, russian emo rap, russian hyperpop","Pop, Hip Hop",adaptive strike,2022-02-11,2:16,80,82,19,0,39,5,10,-7 db,102,C♯/D♭ Major,3B,4,2022-04-23,5jXocrsUwpKwWyI5BZLKFA
24 , Танцы,ssshhhiiittt!,62,russian post-punk,Rock,Последнее лето (Часть 2),2019-09-30,2:55,48,97,14,0,86,6,79,-2 db,160,G Minor,6A,4,2022-04-23,5hY09NvKjD3gBQS3qhriXD
25 , Close Eyes,DVRST,81,drift phonk,,Close Eyes,2021-05-25,2:12,78,57,7,84,21,6,14,-10 db,96,C Major,8B,4,2022-04-23,3CLSHJv5aUROAN2vfOyCOh
26 , First Class,Jack Harlow,94,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-23,1rDQ4oMwGJI7B4tovsBOxc
27 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",87,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-23,5Z9KJZvQzH6PFmb8SNkxuk
28 , Положение,Skryptonite,62,"central asian hip hop, kazakh hip hop, russian hip hop, russian trap","Hip Hop, Latin",Уроборос: Улица 36,2017-12-16,4:42,58,54,54,0,24,32,15,-9 db,63,C♯/D♭ Minor,12A,4,2022-04-23,1hfISzdAwnywAKxaSpfloo
29 , 99 Problems,"Big Baby Tape,kizaru",66,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:39,95,45,2,0,18,10,7,-9 db,100,A Major,11B,4,2022-04-23,0r9fpWPI6z3V3YZXIiVaNC
30 , Marmalade,"Miyagi & Andy Panda,Mav-d",66,"russian hip hop,",Hip Hop,Marmalade,2021-11-19,3:40,73,51,57,0,51,5,12,-9 db,110,A#/B♭ Minor,3A,4,2022-04-23,7rvEwAILTqxBpdIyUifkE8
31 , ТОЛПЫ КРИЧАТ,"uniqe,nkeeei,ARTEM SHILOVETS",66,"russian hip hop,",Hip Hop,ТОЛПЫ КРИЧАТ,2021-09-28,2:05,90,38,70,0,70,24,9,-7 db,130,D#/E♭ Minor,2A,4,2022-04-23,3mcw4dkjfzj5B4Ago9NSmN
32 , Million,"Big Baby Tape,kizaru",65,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:14,87,68,3,0,72,22,27,-5 db,165,F#/G♭ Major,2B,4,2022-04-23,4umjgYILQbHyV41ZmaemQm
33 , плачь,"rizza,Sqwore",66,"russian drain, russian hip hop, russian hyperpop",Hip Hop,плачь,2021-08-27,1:56,66,83,30,0,55,23,12,-4 db,157,E Minor,9A,4,2022-04-23,3yCKABoZU3FVFuyVBc5VlM
34 , Baby mama,"Skryptonite,Райда",63,"central asian hip hop, kazakh hip hop, russian hip hop, russian trap,","Hip Hop, Latin",Baby mama,2020-07-03,3:51,89,57,2,0,55,15,14,-6 db,104,G Minor,6A,4,2022-04-23,5X33A2X2OuQXUOKhawWCMm
35 , shadowfiend,shadowraze,67,"russian drain, russian hip hop",Hip Hop,shadowfiend,2020-09-30,2:23,63,80,5,45,66,8,11,-6 db,178,A#/B♭ Minor,3A,5,2022-04-23,0xEET0hVtwAEI5iVMWmD5C
36 , Селяви,MORGENSHTERN,64,"russian hip hop, russian trap","Hip Hop, Latin",Селяви,2022-04-08,2:40,90,44,8,0,33,7,22,-9 db,100,F Major,7B,4,2022-04-23,3SOHFsSinxM6flLceYl5BT
